Date,Power (kW)
2019-01-26 01:00:00,115.973
2019-01-26 02:00:00,115.116
2019-01-26 03:00:00,112.878
2019-01-26 04:00:00,108.957
2019-01-26 05:00:00,105.523
2019-01-26 06:00:00,106.869
2019-01-26 07:00:00,116.032
2019-01-26 08:00:00,137.943
2019-01-26 09:00:00,139.744
2019-01-26 10:00:00,145.737
2019-01-26 11:00:00,141.263
2019-01-26 12:00:00,143.311
2019-01-26 13:00:00,145.231
2019-01-26 14:00:00,144.109
2019-01-26 15:00:00,141.487
2019-01-26 16:00:00,143.99
2019-01-26 17:00:00,140.509
2019-01-26 18:00:00,138.106
2019-01-26 19:00:00,132.976
2019-01-26 20:00:00,127.238
2019-01-26 21:00:00,123.042
2019-01-26 22:00:00,125.117
2019-01-26 23:00:00,123.506
2019-01-27 00:00:00,119.624
2019-01-27 01:00:00,116.863
2019-01-27 02:00:00,115.857
2019-01-27 03:00:00,113.61
2019-01-27 04:00:00,109.584
2019-01-27 05:00:00,103.811
2019-01-27 06:00:00,100.629
2019-01-27 07:00:00,103.905
2019-01-27 08:00:00,101.888
2019-01-27 09:00:00,102.717
2019-01-27 10:00:00,106.719
2019-01-27 11:00:00,108.394
2019-01-27 12:00:00,107.804
2019-01-27 13:00:00,111.953
2019-01-27 14:00:00,120.067
2019-01-27 15:00:00,130.765
2019-01-27 16:00:00,131.937
2019-01-27 17:00:00,141.41
2019-01-27 18:00:00,141.233
2019-01-27 19:00:00,140.868
2019-01-27 20:00:00,128.906
2019-01-27 21:00:00,129.499
2019-01-27 22:00:00,133.589
2019-01-27 23:00:00,132.121
2019-01-28 00:00:00,129.0
2019-01-28 01:00:00,122.41
2019-01-28 02:00:00,121.142
2019-01-28 03:00:00,120.294
2019-01-28 04:00:00,119.152
2019-01-28 05:00:00,132.259
2019-01-28 06:00:00,154.216
2019-01-28 07:00:00,232.381
2019-01-28 08:00:00,373.703
2019-01-28 09:00:00,452.315
2019-01-28 10:00:00,506.621
2019-01-28 11:00:00,511.121
2019-01-28 12:00:00,511.825
2019-01-28 13:00:00,514.877
2019-01-28 14:00:00,480.263
2019-01-28 15:00:00,473.9
2019-01-28 16:00:00,455.19
2019-01-28 17:00:00,420.969
2019-01-28 18:00:00,368.876
2019-01-28 19:00:00,264.22
2019-01-28 20:00:00,220.935
2019-01-28 21:00:00,188.496
2019-01-28 22:00:00,159.169
2019-01-28 23:00:00,149.632
2019-01-29 00:00:00,147.262
2019-01-29 01:00:00,124.887
2019-01-29 02:00:00,120.792
2019-01-29 03:00:00,115.853
2019-01-29 04:00:00,125.688
2019-01-29 05:00:00,148.755
2019-01-29 06:00:00,162.31
2019-01-29 07:00:00,242.624
2019-01-29 08:00:00,376.856
2019-01-29 09:00:00,433.697
2019-01-29 10:00:00,428.261
2019-01-29 11:00:00,452.22
2019-01-29 12:00:00,457.318
2019-01-29 13:00:00,446.326
2019-01-29 14:00:00,452.778
2019-01-29 15:00:00,467.595
2019-01-29 16:00:00,476.734
2019-01-29 17:00:00,463.78
2019-01-29 18:00:00,368.266
2019-01-29 19:00:00,263.957
2019-01-29 20:00:00,222.816
2019-01-29 21:00:00,208.235
2019-01-29 22:00:00,177.589
